id,question,choice1,choice2,choice3,choice4,correct_answer_index,explanation
53,"Heisuke has a serious look on his ___.",face,head,eyes,nose,1,"「face」は「顔」。ヘイスケは真剣な表情をしています。"
54,"Natsuki worked for a whole ___.",week,month,year,day,1,"「week」は「週」。ナツキは丸一週間働きました。"
55,"Hana is watching a ___ on TV.",play,movie,show,drama,1,"「play」は「劇」。ハナはテレビで劇を見ています。"
56,"Sakamoto ordered a ___ pizza.",large,big,huge,giant,1,"「large」は「大きい」。坂本は大きなピザを注文しました。"
57,"Shin has a new ___ for the mission.",plan,idea,thought,strategy,1,"「plan」は「計画」。シンは任務のための新しい計画を持っています。"
58,"Lu is a ___ of the team.",member,part,piece,unit,1,"「member」は「一員」。ルーはチームの一員です。"
59,"Heisuke waited for a ___.",second,minute,hour,moment,1,"「second」は「秒」。ヘイスケは一秒待ちました。"
60,"Natsuki learned a new ___.",word,language,term,phrase,1,"「word」は「単語」。ナツキは新しい単語を学びました。"
61,"Sakamoto asked a difficult ___.",question,query,inquiry,interrogation,1,"「question」は「質問」。坂本は難しい質問をしました。"
62,"Aoi loves her ___.",family,friends,relatives,kin,1,"「family」は「家族」。アオイは家族を愛しています。"
63,"Hana is studying ___.",social studies,history,geography,civics,1,"「social studies」は「社会科」。ハナは社会科を勉強しています。"
64,"Sakamoto went to the ___.",market,store,shop,supermarket,1,"「market」は「市場」。坂本は市場に行きました。"
65,"Shin closed his ___.",eyes,eye,ears,ear,1,"「eyes」は「目」。シンは目を閉じました。"
66,"This ___ is very cold.",month,year,week,day,1,"「month」は「月」。今月はとても寒いです。"
67,"Natsuki found some useful ___.",information,data,facts,details,1,"「information」は「情報」。ナツキはいくつかの有用な情報を見つけました。"
68,"Sakamoto drank a glass of ___.",water,milk,juice,tea,1,"「water」は「水」。坂本は一杯の水を飲みました。"
69,"Lu needs more ___ for the mission.",money,time,energy,effort,1,"「money」は「お金」。ルーは任務のためにもっとお金が必要です。"
70,"Heisuke works at ___.",night,day,morning,evening,1,"「night」は「夜」。ヘイスケは夜に働きます。"
71,"This ___ is very quiet.",room,house,place,area,1,"「room」は「部屋」。この部屋はとても静かです。"
72,"Natsuki drives a fast ___.",car,vehicle,automobile,machine,1,"「car」は「車」。ナツキは速い車を運転します。"
73,"Sakamoto enjoys ___.",reading,writing,studying,learning,1,"「reading」は「読書」。坂本は読書を楽しみます。"
74,"Heisuke is on the basketball ___.",court,field,ground,pitch,1,"「court」は「コート」。ヘイスケはバスケットボールのコートにいます。"
75,"Lu took the ___ to the city.",train,bus,subway,metro,1,"「train」は「電車」。ルーは電車で街へ行きました。"
76,"The leaves change color in the ___.",fall,autumn,spring,summer,1,"「fall」は「秋」。秋には葉の色が変わります。"
77,"Aoi received a ___ from Sakamoto.",present,gift,souvenir,memento,1,"「present」は「プレゼント」。アオイは坂本からプレゼントを受け取りました。"
78,"Shin found ___ in the box.",nothing,something,anything,everything,1,"「nothing」は「何もない」。シンは箱の中に何も見つけませんでした。"
79,"The ___ from the mountain is beautiful.",view,sight,scene,scenery,1,"「view」は「眺め」。山からの眺めは美しいです。"
80,"Natsuki has a good ___.",idea,thought,notion,concept,1,"「idea」は「アイデア」。ナツキは良いアイデアを持っています。"
81,"Sakamoto has a part-time ___.",job,work,task,chore,1,"「job」は「仕事」。坂本はアルバイトをしています。"
82,"Heisuke has a strong ___.",body,physique,build,frame,1,"「body」は「体」。ヘイスケは強い体を持っています。"
83,"Lu is a good ___ to Shin.",friend,pal,buddy,mate,1,"「friend」は「友達」。ルーはシンにとって良い友達です。"
84,"The assassins must follow the ___.",law,rule,regulation,guideline,1,"「law」は「法律」。暗殺者は法律に従わなければなりません。"
85,"Aoi turned on the ___.",light,lamp,bulb,fixture,1,"「light」は「明かり」。アオイは明かりをつけました。"
86,"The mission took more than an ___.",hour,minute,second,moment,1,"「hour」は「時間」。その任務は1時間以上かかりました。"
87,"Natsuki works in an ___.",office,building,room,space,1,"「office」は「オフィス」。ナツキはオフィスで働いています。"
88,"The story is about a ___ between two groups.",war,battle,fight,conflict,1,"「war」は「戦争」。その物語は二つのグループ間の戦争についてのものです。"
89,"Shin had a deep ___.",thought,idea,notion,concept,1,"「thought」は「考え」。シンは深い考えにふけっていました。"
90,"Sakamoto can ___ a story very well.",tell,say,speak,talk,1,"「tell」は「話す」。坂本はとても上手に話をすることができます。"
91,"Lu can ___ that something is wrong.",feel,sense,perceive,detect,1,"「feel」は「感じる」。ルーは何かがおかしいと感じることができます。"
92,"Heisuke will ___ you his new rifle.",show,display,exhibit,present,1,"「show」は「見せる」。ヘイスケはあなたに彼の新しいライフルを見せるでしょう。"
93,"Natsuki ___ the file on the desk.",put,place,set,lay,1,"「put」は「置く」。ナツキはファイルを机の上に置きました。"
94,"Sakamoto can ___ his appearance.",change,alter,modify,transform,1,"「change」は「変える」。坂本は自分の外見を変えることができます。"
95,"Shin wants to ___ a great assassin.",become,be,grow,turn into,1,"「become」は「～になる」。シンは偉大な暗殺者になりたいと思っています。"
96,"The red color can ___ danger.",mean,signify,represent,indicate,1,"「mean」は「意味する」。赤色は危険を意味することがあります。"
97,"The fight will ___ soon.",end,finish,conclude,terminate,1,"「end」は「終わる」。戦いはすぐに終わるでしょう。"
98,"Aoi will ___ him on his mission.",call,phone,ring,telephone,1,"「call」は「電話する」。アオイは彼の任務中に彼に電話します。"
99,"Lu ___ to be very strong.",seems,appears,looks,sounds,1,"「seems」は「～のように見える」。ルーは非常に強いように見えます。"
100,"Heisuke will ___ you a question.",ask,inquire,query,question,1,"「ask」は「質問する」。ヘイスケはあなたに質問します。"
