id,question,choice1,choice2,choice3,choice4,correct_answer_index,explanation
45,"They ___ lunch together every day.",eat,ate,eating,eats,1,"「every day」があり主語が複数なので「eat」。彼らは毎日一緒に昼食を食べます。"
46,"The clock is ___ the kitchen wall.",on,in,at,under,1,"「on the wall」は「壁に」。時計はキッチンの壁にあります。"
47,"Lu ___ her cooking skills from her mother.",learned,learns,learning,learn,1,"過去の出来事として過去形。ルーは母親から料理のスキルを学びました。"
48,"You ___ be quiet in the library.",must,can,may,will,1,"「must」は「～しなければならない」。図書館では静かにしなければなりません。"
49,"Aoi ___ her homework before dinner.",finishes,finished,finishing,finish,1,"「finishes」は三人称単数現在形。アオイは夕食前に宿題を終わらせます。"
50,"Heisuke ___ his equipment very carefully.",checks,checked,checking,check,1,"「checks」は三人称単数現在形。ヘイスケは装備をとても注意深くチェックします。"
51,"The flowers are ___ the vase.",in,on,at,under,1,"「in the vase」は「花瓶の中に」。花は花瓶の中にあります。"
52,"Natsuki ___ on her laptop right now.",is working,was working,are working,were working,1,"「right now」があり主語が単数なので「is working」。ナツキは今ラップトップで作業をしています。"
53,"Sakamoto ___ to protect his family.",tries,tried,trying,try,1,"「tries」は三人称単数現在形。坂本は家族を守ろうとします。"
54,"Shin ___ the newspaper this morning.",read,reads,reading,reader,1,"「this morning」があるので過去形。シンは今朝新聞を読みました。"
55,"They ___ to the movies last weekend.",went,go,going,goes,1,"「last weekend」があるので過去形。彼らは先週末映画を見に行きました。"
56,"The bus stops ___ the school.",near,in,on,under,1,"「near the school」は「学校の近くに」。バスは学校の近くで停まります。"
57,"Lu ___ delicious meals for everyone.",makes,made,making,make,1,"「makes」は三人称単数現在形。ルーはみんなのために美味しい料理を作ります。"
58,"You ___ drink water when you are thirsty.",should,could,would,might,1,"「should」は「～するべき」。のどが渇いたときは水を飲むべきです。"
59,"Aoi ___ very well in school.",does,did,doing,do,1,"「does」は三人称単数現在形。アオイは学校でとても良くやっています。"
60,"Heisuke ___ his position last night.",changed,changes,changing,change,1,"「last night」があるので過去形。ヘイスケは昨夜ポジションを変えました。"
61,"The cat is sitting ___ the window.",by,in,on,under,1,"「by the window」は「窓のそばに」。猫は窓のそばに座っています。"
62,"Natsuki ___ programming since she was young.",has studied,studied,studies,study,1,"継続を表す現在完了形。ナツキは若い頃からプログラミングを勉強しています。"
63,"Sakamoto ___ his wife every day.",helps,helped,helping,help,1,"「every day」があるので現在形。坂本は毎日妻を手伝います。"
64,"Shin ___ very nervous before the mission.",was,is,were,are,1,"過去の状況なので過去形。シンは任務の前にとても緊張していました。"
65,"They ___ dinner at 6:00 PM every day.",have,had,having,has,1,"「every day」があり主語が複数なので「have」。彼らは毎日6時に夕食を食べます。"
66,"The book is ___ the shelf.",on,in,at,under,1,"「on the shelf」は「棚の上に」。本は棚の上にあります。"
67,"Lu ___ her grandmother last month.",visited,visits,visiting,visit,1,"「last month」があるので過去形。ルーは先月祖母を訪ねました。"
68,"You ___ wear a jacket when it's cold.",should,could,would,might,1,"「should」は「～するべき」。寒いときはジャケットを着るべきです。"
69,"Aoi ___ her room every Saturday.",cleans,cleaned,cleaning,clean,1,"「every Saturday」があるので現在形。アオイは毎土曜日部屋を掃除します。"
70,"Heisuke ___ through the window carefully.",looked,looks,looking,look,1,"過去の出来事として過去形。ヘイスケは注意深く窓から見ました。"
71,"The cup is ___ the table.",on,in,at,under,1,"「on the table」は「テーブルの上に」。コップはテーブルの上にあります。"
72,"Natsuki ___ her computer every morning.",turns on,turned on,turning on,turn on,1,"「every morning」があるので現在形。ナツキは毎朝コンピューターの電源を入れます。"
73,"Sakamoto ___ very kind to everyone.",is,was,are,were,1,"現在の性格なので現在形。坂本はみんなにとても親切です。"
74,"Shin ___ a peaceful life now.",lives,lived,living,live,1,"「now」があるので現在形。シンは今平穏な生活を送っています。"
75,"They ___ to bed early last night.",went,go,going,goes,1,"「last night」があるので過去形。彼らは昨夜早く寝ました。"
76,"The school is ___ my house.",near,in,on,at,1,"「near my house」は「私の家の近くに」。学校は私の家の近くにあります。"
77,"Lu ___ very hard in the kitchen.",works,worked,working,work,1,"「works」は三人称単数現在形。ルーはキッチンでとても一生懸命働きます。"
78,"You ___ listen to your teacher carefully.",must,can,may,will,1,"「must」は「～しなければならない」。先生の話を注意深く聞かなければなりません。"
79,"Aoi ___ her friends after school.",meets,met,meeting,meet,1,"「meets」は三人称単数現在形。アオイは放課後友達に会います。"
80,"Heisuke ___ his mission yesterday.",completed,completes,completing,complete,1,"「yesterday」があるので過去形。ヘイスケは昨日任務を完了しました。"
81,"The money is ___ my wallet.",in,on,at,under,1,"「in my wallet」は「私の財布の中に」。お金は私の財布の中にあります。"
82,"Natsuki ___ her programs every week.",updates,updated,updating,update,1,"「every week」があるので現在形。ナツキは毎週プログラムを更新します。"
83,"Sakamoto ___ his family more than anything.",loves,loved,loving,love,1,"「loves」は三人称単数現在形。坂本は何よりも家族を愛しています。"
84,"Shin ___ at the convenience store this morning.",worked,works,working,work,1,"「this morning」があるので過去形。シンは今朝コンビニで働きました。"
85,"They ___ soccer every Sunday.",play,played,playing,plays,1,"「every Sunday」があり主語が複数なので「play」。彼らは毎日曜日サッカーをします。"
86,"The letter is ___ the mailbox.",in,on,at,under,1,"「in the mailbox」は「郵便受けの中に」。手紙は郵便受けの中にあります。"
87,"Lu ___ her cooking show on TV yesterday.",watched,watches,watching,watch,1,"「yesterday」があるので過去形。ルーは昨日テレビで料理番組を見ました。"
88,"You ___ study English every day.",should,could,would,might,1,"「should」は「～するべき」。毎日英語を勉強するべきです。"
89,"Aoi ___ her bicycle to school.",rides,rode,riding,ride,1,"「rides」は三人称単数現在形。アオイは自転車で学校に行きます。"
90,"Heisuke ___ his rifle last night.",cleaned,cleans,cleaning,clean,1,"「last night」があるので過去形。ヘイスケは昨夜ライフルを掃除しました。"
91,"The phone is ___ the desk.",on,in,at,under,1,"「on the desk」は「机の上に」。電話は机の上にあります。"
92,"Natsuki ___ coding every evening.",practices,practiced,practicing,practice,1,"「every evening」があるので現在形。ナツキは毎晩コーディングを練習します。"
93,"Sakamoto ___ very strong in the past.",was,is,were,are,1,"「in the past」があるので過去形。坂本は過去にとても強かったです。"
94,"Shin ___ his new job very much.",likes,liked,liking,like,1,"「likes」は三人称単数現在形。シンは新しい仕事がとても気に入っています。"
95,"They ___ to the restaurant yesterday.",drove,drive,driving,drives,1,"「yesterday」があるので過去形。彼らは昨日レストランに車で行きました。"
96,"The store is ___ the station.",near,in,on,at,1,"「near the station」は「駅の近くに」。店は駅の近くにあります。"
97,"Lu ___ her recipe book every day.",reads,read,reading,reader,1,"「every day」があるので現在形。ルーは毎日レシピ本を読みます。"
98,"You ___ be polite to older people.",must,can,may,will,1,"「must」は「～しなければならない」。年上の人には礼儀正しくしなければなりません。"
99,"Aoi ___ her piano lesson yesterday.",had,has,having,have,1,"「yesterday」があるので過去形。アオイは昨日ピアノレッスンを受けました。"
100,"Heisuke ___ his target very carefully.",watches,watched,watching,watch,1,"「watches」は三人称単数現在形。ヘイスケはターゲットをとても注意深く見張ります。"
101,"The bag is ___ the chair.",under,on,in,at,1,"「under the chair」は「椅子の下に」。バッグは椅子の下にあります。"
102,"Natsuki ___ her computer skills last year.",improved,improves,improving,improve,1,"「last year」があるので過去形。ナツキは昨年コンピュータースキルを向上させました。"
103,"Sakamoto ___ his daughter to school every day.",takes,took,taking,take,1,"「every day」があるので現在形。坂本は毎日娘を学校に連れて行きます。"
104,"Shin ___ very happy with his new life.",is,was,are,were,1,"現在の状況なので現在形。シンは新しい生活にとても満足しています。"
105,"They ___ ice cream after dinner last night.",ate,eat,eating,eats,1,"「last night」があるので過去形。彼らは昨夜夕食後にアイスクリームを食べました。"
106,"The hospital is ___ the bank.",next to,in,on,under,1,"「next to the bank」は「銀行の隣に」。病院は銀行の隣にあります。"
107,"Lu ___ her mother with cooking every day.",helps,helped,helping,help,1,"「every day」があるので現在形。ルーは毎日料理で母親を手伝います。"
108,"You ___ wear your seatbelt in the car.",must,can,may,will,1,"「must」は「～しなければならない」。車ではシートベルトをしなければなりません。"
109,"Aoi ___ her diary before sleeping.",writes,wrote,writing,write,1,"「writes」は三人称単数現在形。アオイは寝る前に日記を書きます。"
110,"Heisuke ___ his equipment yesterday morning.",checked,checks,checking,check,1,"「yesterday morning」があるので過去形。ヘイスケは昨日の朝装備をチェックしました。"
111,"The medicine is ___ the cabinet.",in,on,at,under,1,"「in the cabinet」は「戸棚の中に」。薬は戸棚の中にあります。"
112,"Natsuki ___ with her team every week.",meets,met,meeting,meet,1,"「every week」があるので現在形。ナツキは毎週チームと会います。"
113,"Sakamoto ___ his wife very much.",trusts,trusted,trusting,trust,1,"「trusts」は三人称単数現在形。坂本は妻をとても信頼しています。"
114,"Shin ___ the newspaper this evening.",will read,reads,read,reading,1,"「this evening」は未来なので未来形。シンは今夜新聞を読むつもりです。"
115,"They ___ to music while studying yesterday.",listened,listen,listening,listens,1,"「yesterday」があるので過去形。彼らは昨日勉強しながら音楽を聞きました。"
116,"The park is ___ our school.",behind,in,on,under,1,"「behind our school」は「私たちの学校の後ろに」。公園は私たちの学校の後ろにあります。"
117,"Lu ___ her cooking skills every month.",improves,improved,improving,improve,1,"「every month」があるので現在形。ルーは毎月料理のスキルを向上させます。"
118,"You ___ drink milk for strong bones.",should,could,would,might,1,"「should」は「～するべき」。丈夫な骨のためにミルクを飲むべきです。"
119,"Aoi ___ her grandmother every summer.",visits,visited,visiting,visit,1,"「every summer」があるので現在形。アオイは毎夏祖母を訪ねます。"
120,"Heisuke ___ very quietly last night.",moved,moves,moving,move,1,"「last night」があるので過去形。ヘイスケは昨夜とても静かに移動しました。"
121,"The keys are ___ the drawer.",in,on,at,under,1,"「in the drawer」は「引き出しの中に」。鍵は引き出しの中にあります。"
122,"Natsuki ___ her laptop everywhere.",carries,carried,carrying,carry,1,"「carries」は三人称単数現在形。ナツキはどこでもラップトップを持ち運びます。"
123,"Sakamoto ___ his children every night.",reads to,read to,reading to,reads,1,"「every night」があるので現在形。坂本は毎晩子どもたちに本を読んであげます。"
124,"Shin ___ very tired after work yesterday.",was,is,were,are,1,"「yesterday」があるので過去形。シンは昨日仕事の後とても疲れていました。"
125,"They ___ their homework together every day.",do,did,doing,does,1,"「every day」があり主語が複数なので「do」。彼らは毎日一緒に宿題をします。"
126,"The library is ___ the post office.",across from,in,on,under,1,"「across from the post office」は「郵便局の向かい側に」。図書館は郵便局の向かい側にあります。"
127,"Lu ___ her recipe from her grandmother.",learned,learns,learning,learn,1,"過去の出来事として過去形。ルーは祖母からレシピを学びました。"
128,"You ___ exercise regularly for good health.",should,could,would,might,1,"「should」は「～するべき」。健康のために定期的に運動するべきです。"
129,"Aoi ___ her room clean every day.",keeps,kept,keeping,keep,1,"「every day」があるので現在形。アオイは毎日部屋をきれいに保ちます。"
130,"Heisuke ___ his position this morning.",changed,changes,changing,change,1,"「this morning」があるので過去形。ヘイスケは今朝ポジションを変えました。"
131,"The gift is ___ the box.",in,on,at,under,1,"「in the box」は「箱の中に」。プレゼントは箱の中にあります。"
132,"Natsuki ___ her skills every day.",develops,developed,developing,develop,1,"「every day」があるので現在形。ナツキは毎日スキルを発達させます。"
133,"Sakamoto ___ his family's safety first.",puts,put,putting,puts,1,"「puts」は三人称単数現在形。坂本は家族の安全を第一に考えます。"
134,"Shin ___ very comfortable in his new apartment.",feels,felt,feeling,feel,1,"「feels」は三人称単数現在形。シンは新しいアパートでとても快適に感じています。"
135,"They ___ to the beach last summer.",went,go,going,goes,1,"「last summer」があるので過去形。彼らは昨年の夏海に行きました。"
136,"The restaurant is ___ the corner.",around,in,on,under,1,"「around the corner」は「角の向こうに」。レストランは角の向こうにあります。"
137,"Lu ___ her cooking every weekend.",practices,practiced,practicing,practice,1,"「every weekend」があるので現在形。ルーは毎週末料理を練習します。"
138,"You ___ wash your hands before eating.",must,can,may,will,1,"「must」は「～しなければならない」。食べる前に手を洗わなければなりません。"
139,"Aoi ___ her math homework yesterday.",finished,finishes,finishing,finish,1,"「yesterday」があるので過去形。アオイは昨日数学の宿題を終えました。"
140,"Heisuke ___ his target from far away.",observes,observed,observing,observe,1,"「observes」は三人称単数現在形。ヘイスケは遠くからターゲットを観察します。"
141,"The newspaper is ___ the table.",on,in,at,under,1,"「on the table」は「テーブルの上に」。新聞はテーブルの上にあります。"
142,"Natsuki ___ her code last night.",debugged,debugs,debugging,debug,1,"「last night」があるので過去形。ナツキは昨夜コードをデバッグしました。"
143,"Sakamoto ___ his wife with the dishes.",helps,helped,helping,help,1,"「helps」は三人称単数現在形。坂本は妻の皿洗いを手伝います。"
144,"Shin ___ very peaceful these days.",looks,looked,looking,look,1,"「these days」があるので現在形。シンは最近とても平和そうに見えます。"
145,"They ___ their lunch outside yesterday.",ate,eat,eating,eats,1,"「yesterday」があるので過去形。彼らは昨日外で昼食を食べました。"
146,"The cinema is ___ the shopping mall.",inside,in,on,under,1,"「inside the shopping mall」は「ショッピングモールの中に」。映画館はショッピングモールの中にあります。"
147,"Lu ___ her favorite dish for dinner.",makes,made,making,make,1,"「makes」は三人称単数現在形。ルーは夕食に好きな料理を作ります。"
148,"You ___ be kind to animals.",should,could,would,might,1,"「should」は「～するべき」。動物には親切にするべきです。"
149,"Aoi ___ her English every morning.",studies,studied,studying,study,1,"「every morning」があるので現在形。アオイは毎朝英語を勉強します。"
150,"Heisuke ___ his rifle very carefully yesterday.",cleaned,cleans,cleaning,clean,1,"「yesterday」があるので過去形。ヘイスケは昨日ライフルをとても注意深く掃除しました。"
151,"The coffee shop is ___ the bookstore.",next to,in,on,under,1,"「next to the bookstore」は「本屋の隣に」。コーヒーショップは本屋の隣にあります。"
152,"Natsuki ___ programming languages quickly.",learns,learned,learning,learn,1,"「learns」は三人称単数現在形。ナツキはプログラミング言語を速く覚えます。"
153,"Sakamoto ___ his old life sometimes.",remembers,remembered,remembering,remember,1,"「remembers」は三人称単数現在形。坂本は時々昔の生活を思い出します。"
154,"Shin ___ the convenience store last week.",managed,manages,managing,manage,1,"「last week」があるので過去形。シンは先週コンビニを管理しました。"
155,"They ___ television together every evening.",watch,watched,watching,watches,1,"「every evening」があり主語が複数なので「watch」。彼らは毎晩一緒にテレビを見ます。"
156,"The doctor's office is ___ the pharmacy.",above,in,on,under,1,"「above the pharmacy」は「薬局の上に」。医者の診察室は薬局の上にあります。"
157,"Lu ___ her grandmother's recipe last month.",tried,tries,trying,try,1,"「last month」があるので過去形。ルーは先月祖母のレシピを試しました。"
158,"You ___ listen to your parents.",must,can,may,will,1,"「must」は「～しなければならない」。両親の言うことを聞かなければなりません。"
159,"Aoi ___ her science project yesterday.",presented,presents,presenting,present,1,"「yesterday」があるので過去形。アオイは昨日理科のプロジェクトを発表しました。"
160,"Heisuke ___ his mission very seriously.",takes,took,taking,take,1,"「takes」は三人称単数現在形。ヘイスケは任務をとても真剣に受け取ります。"
161,"The medicine is ___ the refrigerator.",in,on,at,under,1,"「in the refrigerator」は「冷蔵庫の中に」。薬は冷蔵庫の中にあります。"
162,"Natsuki ___ her computer every morning.",starts,started,starting,start,1,"「every morning」があるので現在形。ナツキは毎朝コンピューターを起動します。"
163,"Sakamoto ___ his children to be happy.",wants,wanted,wanting,want,1,"「wants」は三人称単数現在形。坂本は子どもたちに幸せになってほしいと思っています。"
164,"Shin ___ very well in his new job.",is doing,was doing,are doing,were doing,1,"現在の状況なので現在進行形。シンは新しい仕事でとても上手くやっています。"
165,"They ___ soccer in the park yesterday.",played,play,playing,plays,1,"「yesterday」があるので過去形。彼らは昨日公園でサッカーをしました。"
166,"The bank is ___ the street.",across,in,on,under,1,"「across the street」は「通りの向こう側に」。銀行は通りの向こう側にあります。"
167,"Lu ___ cooking since she was a child.",has loved,loved,loves,love,1,"継続を表す現在完了形。ルーは子どもの頃から料理が大好きです。"
168,"You ___ wear a helmet when riding a bicycle.",should,could,would,might,1,"「should」は「～するべき」。自転車に乗るときはヘルメットをかぶるべきです。"
169,"Aoi ___ her art class every Tuesday.",attends,attended,attending,attend,1,"「every Tuesday」があるので現在形。アオイは毎火曜日美術の授業に出席します。"
170,"Heisuke ___ his equipment this morning.",prepared,prepares,preparing,prepare,1,"「this morning」があるので過去形。ヘイスケは今朝装備を準備しました。"
171,"The flowers are ___ the garden.",in,on,at,under,1,"「in the garden」は「庭に」。花は庭にあります。"
172,"Natsuki ___ her programs very carefully.",writes,wrote,writing,write,1,"「writes」は三人称単数現在形。ナツキはプログラムをとても注意深く書きます。"
173,"Sakamoto ___ his family above everything else.",values,valued,valuing,value,1,"「values」は三人称単数現在形。坂本は何よりも家族を大切にします。"
174,"Shin ___ very relaxed at home.",feels,felt,feeling,feel,1,"「feels」は三人称単数現在形。シンは家ではとてもリラックスしています。"
175,"They ___ dinner at a restaurant last night.",had,have,having,has,1,"「last night」があるので過去形。彼らは昨夜レストランで夕食を食べました。"
176,"The supermarket is ___ the gas station.",beside,in,on,under,1,"「beside the gas station」は「ガソリンスタンドのそばに」。スーパーマーケットはガソリンスタンドのそばにあります。"
177,"Lu ___ her kitchen very organized.",keeps,kept,keeping,keep,1,"「keeps」は三人称単数現在形。ルーはキッチンをとても整理された状態に保ちます。"
178,"You ___ drink enough water every day.",must,can,may,will,1,"「must」は「～しなければならない」。毎日十分な水を飲まなければなりません。"
179,"Aoi ___ her friends at the park yesterday.",met,meets,meeting,meet,1,"「yesterday」があるので過去形。アオイは昨日公園で友達に会いました。"
180,"Heisuke ___ his target's movements carefully.",studies,studied,studying,study,1,"「studies」は三人称単数現在形。ヘイスケはターゲットの動きを注意深く研究します。"
181,"The umbrella is ___ the entrance.",by,in,on,under,1,"「by the entrance」は「入り口のそばに」。傘は入り口のそばにあります。"
182,"Natsuki ___ her skills every weekend.",practices,practiced,practicing,practice,1,"「every weekend」があるので現在形。ナツキは毎週末スキルを練習します。"
183,"Sakamoto ___ his wife's cooking very much.",enjoys,enjoyed,enjoying,enjoy,1,"「enjoys」は三人称単数現在形。坂本は妻の料理をとても楽しみます。"
184,"Shin ___ a normal life now.",has,had,having,have,1,"「now」があるので現在形。シンは今普通の生活を送っています。"
185,"They ___ to the museum last month.",went,go,going,goes,1,"「last month」があるので過去形。彼らは先月博物館に行きました。"
186,"The post office is ___ the police station.",between,in,on,under,1,"「between」は2つの物の間を表します。郵便局は警察署の間にあります。"
187,"Lu ___ her cooking blog every week.",updates,updated,updating,update,1,"「every week」があるので現在形。ルーは毎週料理ブログを更新します。"
188,"You ___ be careful with sharp knives.",must,can,may,will,1,"「must」は「～しなければならない」。鋭いナイフには注意しなければなりません。"
189,"Aoi ___ her piano every day.",practices,practiced,practicing,practice,1,"「every day」があるので現在形。アオイは毎日ピアノを練習します。"
190,"Heisuke ___ his job very professionally.",does,did,doing,do,1,"「does」は三人称単数現在形。ヘイスケは仕事をとても専門的に行います。"
191,"The shoes are ___ the closet.",in,on,at,under,1,"「in the closet」は「クローゼットの中に」。靴はクローゼットの中にあります。"
192,"Natsuki ___ new software last week.",installed,installs,installing,install,1,"「last week」があるので過去形。ナツキは先週新しいソフトウェアをインストールしました。"
193,"Sakamoto ___ his family's happiness first.",puts,put,putting,puts,1,"「puts」は三人称単数現在形。坂本は家族の幸せを第一に考えます。"
194,"Shin ___ very content with his life.",is,was,are,were,1,"現在の状況なので現在形。シンは自分の生活にとても満足しています。"
195,"They ___ a movie together last Friday.",watched,watch,watching,watches,1,"「last Friday」があるので過去形。彼らは先週の金曜日に一緒に映画を見ました。"
196,"The train station is ___ the city center.",in,on,at,under,1,"「in the city center」は「市内中心部に」。駅は市内中心部にあります。"
197,"Lu ___ her cooking skills from many books.",learned,learns,learning,learn,1,"過去の出来事として過去形。ルーは多くの本から料理のスキルを学びました。"
198,"You ___ respect your elders.",should,could,would,might,1,"「should」は「～するべき」。年上の人を尊敬するべきです。"
199,"Aoi ___ her homework before dinner every day.",finishes,finished,finishing,finish,1,"「every day」があるので現在形。アオイは毎日夕食前に宿題を終わらせます。"
200,"Heisuke ___ his mission successfully yesterday.",completed,completes,completing,complete,1,"「yesterday」があるので過去形。ヘイスケは昨日任務を成功裏に完了しました。"
